Session Id, Session Name, Usernames, Password, Start, Stop, DNS Assets, Shared With, Endpoint Kits, Public IPs  
37160,28 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:18:00,2017-10-25 06:42:00,No DNS Assets,No One,None,null
37187,1 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:30:00,2017-10-25 08:30:00,No DNS Assets,No One,None,null
37208,10 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:06:00,2017-11-09 07:54:00,No DNS Assets,No One,None,null
37212,6 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:50:00,2017-11-09 08:10:00,No DNS Assets,No One,None,null
37172,16 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:30:00,2017-10-25 07:30:00,No DNS Assets,No One,None,null
37196,22 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:54:00,2017-11-09 07:06:00,No DNS Assets,No One,None,null
37202,16 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:30:00,2017-11-09 07:30:00,No DNS Assets,No One,None,null
37176,12 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:14:00,2017-10-25 07:46:00,No DNS Assets,No One,None,null
37169,19 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:42:00,2017-10-25 07:18:00,No DNS Assets,No One,None,null
37192,26 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:10:00,2017-11-09 06:50:00,No DNS Assets,No One,None,null
37161,27 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:14:00,2017-10-25 06:46:00,No DNS Assets,No One,None,null
37188,30 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:26:00,2017-11-09 06:34:00,No DNS Assets,No One,None,null
37179,9 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:02:00,2017-10-25 07:58:00,No DNS Assets,No One,None,null
37164,24 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:02:00,2017-10-25 06:58:00,No DNS Assets,No One,None,null
37162,26 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:10:00,2017-10-25 06:50:00,No DNS Assets,No One,None,null
37165,23 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:58:00,2017-10-25 07:02:00,No DNS Assets,No One,None,null
37204,14 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:22:00,2017-11-09 07:38:00,No DNS Assets,No One,None,null
37158,30 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:26:00,2017-10-25 06:34:00,No DNS Assets,No One,None,null
37217,1 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:30:00,2017-11-09 08:30:00,No DNS Assets,No One,None,null
37197,21 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:50:00,2017-11-09 07:10:00,No DNS Assets,No One,None,null
37178,10 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:06:00,2017-10-25 07:54:00,No DNS Assets,No One,None,null
37210,8 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:58:00,2017-11-09 08:02:00,No DNS Assets,No One,None,null
